Date,Open,High,Low,Close,"Adj Close",Volume,,,
2025/11/26,276.96,279.53,276.63,277.55,277.55,"33,168,337 (StockAnalysis)",,,AAPL
2025/11/25,275.27,280.38,275.25,276.97,276.97,"46,147,294 (StockAnalysis)",,,
2025/11/24,270.9,277,270.9,275.92,275.92,"65,516,587 (StockAnalysis)",,,
2025/11/21,265.95,273.33,265.67,271.49,271.49,"59,030,832 (StockAnalysis)",,,
2025/11/20,270.83,275.43,265.92,266.25,266.25,"45,823,568 (StockAnalysis)",,,
2025/11/19,265.53,272.21,265.5,268.56,268.56,"40,424,492 (StockAnalysis)",,,
2025/11/18,269.99,270.71,265.32,267.44,267.44,"45,677,278 (StockAnalysis)",,,
2025/11/17,268.82,270.49,265.73,267.46,267.46,"45,018,260 (StockAnalysis)",,,
2025/11/14,271.05,275.96,269.6,272.41,272.41,"47,431,331 (StockAnalysis)",,,
2025/11/13,274.11,276.7,272.09,272.95,272.95,"49,602,794 (StockAnalysis)",,,
2025/11/12,275,275.73,271.7,273.47,273.47,"48,397,982 (StockAnalysis)",,,
2025/11/11,269.81,275.91,269.8,275.25,275.25,"46,208,318 (StockAnalysis)",,,
2025/11/10,268.96,273.73,267.46,269.43,269.43,"41,312,412 (StockAnalysis)",,,
2025/11/07,269.8,272.29,266.77,268.47,—,"48,227,365 (StockAnalysis)",,,
2025/11/06,267.89,273.4,267.89,269.77,—,"51,204,045 (StockAnalysis)",,,
2025/11/05,268.61,271.7,266.93,270.14,—,"43,683,072 (StockAnalysis)",,,
2025/11/04,268.33,271.49,267.62,270.04,—,"49,274,846 (StockAnalysis)",,,
2025/11/03,270.42,270.85,266.25,269.05,268.79,"50,194,583 (StockAnalysis)",,,
2025/10/31,276.99,277.32,269.16,270.37,270.11,"86,167,123 (StockAnalysis)",,,
2025/10/30,271.99,274.14,268.48,271.4,271.14,"69,886,534 (StockAnalysis)",,,
2025/10/29,269.28,271.41,267.11,269.7,269.44,"51,086,742 (StockAnalysis)",,,
2025/10/28,268.99,269.89,268.15,269,268.74,"41,534,759 (StockAnalysis)",,,
2025/10/27,264.88,269.12,264.65,268.81,268.55,"44,888,152 (StockAnalysis)",,,
2025/10/24,261.19,264.13,259.18,262.82,262.57,"38,253,717 (StockAnalysis)",,,
2025/10/23,259.94,260.62,258.01,259.58,259.33,"32,754,941 (StockAnalysis)",,,
2025/10/22,262.65,262.85,255.43,258.45,258.2,"45,015,254 (StockAnalysis)",,,
2025/10/21,261.88,265.29,261.83,262.77,262.52,"46,695,948 (StockAnalysis)",,,
2025/10/20,255.89,264.38,255.63,262.24,261.99,"90,483,029 (StockAnalysis)",,,
2025/10/17,248.02,253.38,247.27,252.29,252.05,"49,146,961 (StockAnalysis)",,,
2025/10/16,248.25,249.04,245.13,247.45,247.21,"39,776,974 (StockAnalysis)",,,
2025/10/15,249.49,251.82,247.47,249.34,249.1,"33,893,611 (StockAnalysis)",,,
2025/10/14,246.6,248.85,244.7,247.77,247.53,"35,477,986 (StockAnalysis)",,,
2025/10/13,249.38,249.69,245.56,247.66,247.42,"38,142,942 (StockAnalysis)",,,
2025/10/03,254.67,259.24,253.95,258.02,257.77,"49,155,614 (StockAnalysis)",,,
2025/10/02,256.58,258.18,254.15,257.13,256.88,"42,630,239 (StockAnalysis)",,,
2025/10/01,255.04,258.79,254.93,255.45,255.2,"48,713,940 (StockAnalysis)",,,
2025/09/30,254.86,255.92,253.11,254.63,254.38,"37,704,259 (StockAnalysis)",,,
2025/09/29,254.56,255,253.01,254.43,254.18,"40,127,687 (StockAnalysis)",,,
2025/09/26,254.1,257.6,253.78,255.46,255.21,"46,076,258 (StockAnalysis)",,,
2025/09/25,253.21,257.17,251.71,256.87,256.62,"55,202,075 (StockAnalysis)",,,
2025/09/24,255.22,255.74,251.04,252.31,252.07,"42,303,710 (StockAnalysis)",,,
2025/09/23,255.88,257.34,253.58,254.43,254.18,"60,275,187 (StockAnalysis)",,,
2025/09/22,248.3,256.64,248.12,256.08,255.83,"105,517,416 (StockAnalysis)",,,
